OBJECTID,RECORRIDO,CODIGO,NOMBRE,SISTEMA,TIPO,EMPRESA,SHAPELEN
193,Origen-Destino,132ii,Aguacatala - Poblado - Av. 34,5A,Integrada,Autobuses Poblado Laureles,7304.95913431468
203,Origen-Destino,135,Poblado Campestre,5A,Directa Centro,Autobuses Poblado Laureles,10317.0544981692
205,Origen-Destino,135i,Los Yarumos San Lucas,5A,Integrada,Autobuses Poblado Laureles,4560.50974627897
206,Origen-Destino,135ii,Patio Bonito,5A,Integrada,Autobuses Poblado Laureles,2389.45766334952
207,Origen-Destino,136,San Lucas - Las Palmas,5A,Directa Centro,Autobuses Poblado Laureles,11543.4185733375
208,Origen-Destino,136A,Colinas del Viento - La Isla,5A,Directa Centro,Autobuses Poblado Laureles,8280.12870594316
213,Origen-Destino,97,Quintalinda-El Vergel,6A,Directa No Centro,Flota la V,4596.0570425621
214,Origen-Destino,99,Cerros de Quintalinda,6A,Directa Centro,Coopcerquin,6518.76411510337
215,Origen-Destino,099 Horario Esp,Cerros de Quintalinda,6A,Directa Centro,Coopcerquin,7206.26039559393
209,Origen-Destino,136ii,Las Palmas - CES,5A,Integrada,Autobuses Poblado Laureles,5779.44945285977
210,Origen-Destino,287,Terminal de Transporte Norte,5A,Directa Centro,Autobuses Poblado Laureles,4897.43524838593
194,Origen-Destino,133,Poblado San Lucas directa,5A,Directa Centro,Autobuses Poblado Laureles,10254.4106095785
195,Origen-Destino,133D,San Lucas directa,5A,Directa Centro,Autobuses Poblado Laureles,9947.72576823345
196,Origen-Destino,133i,San Lucas,5A,Integrada,Autobuses Poblado Laureles,5140.56778829845
197,Origen-Destino,133ii,"Campestre, ISA, Loma de Los González",5A,Integrada,Autobuses Poblado Laureles,4367.59916224933
198,Origen-Destino,133iiA,Balsos La Y,5A,Integrada,Autobuses Poblado Laureles,4133.34568009541
199,Origen-Destino,134,Poblado - El Tesoro - La Chacona,5A,Directa Centro,Autobuses Poblado Laureles,6807.69525410517
200,Origen-Destino,134i,La Y,5A,Integrada,Autobuses Poblado Laureles,5425.59253027914
201,Origen-Destino,134iA,"CES, Chuscalito, Chacaltaya",5A,Integrada,Autobuses Poblado Laureles,5536.5140782841
202,Origen-Destino,134Y,Poblado - El Tesoro - La Y,5A,Directa Centro,Autobuses Poblado Laureles,6807.69525410517
231,Origen-Destino,2,Santa Rita -Zamora,6B,Directa Centro,Combuses,7532.38053708729
232,Origen-Destino,6,La Francia,6B,Directa Centro,Transconor,8616.37473816836
233,Origen-Destino,22,Santa Cruz - Terminal,6B,Directa Centro,Transporte Aranjuez Santa Cruz,7533.63528349517
235,Origen-Destino,23,Popular N° 1,6B,Directa Centro,Transporte Aranjuez Santa Cruz,8844.5898173208
239,Origen-Destino,041D,Aranjuez anillo derecha,6B,Directa Centro,Transporte Aranjuez Santa Cruz ,7517.40073889761
240,Origen-Destino,041I,Aranjuez anillo izquierda,6B,Directa Centro,Transporte Aranjuez Santa Cruz ,5380.52437715988
241,Origen-Destino,42,Aranjuez intermedia,6B,Directa Centro,Transporte Aranjuez Santa Cruz,8857.56366407568
236,Origen-Destino,24,Playón de los Comuneros,6B,Directa Centro,Transporte Aranjuez Santa Cruz,8639.9085716162
237,Origen-Destino,24,Playón de los Comuneros - Oriental,6B,Directa Centro,Transporte Aranjuez Santa Cruz,8727.95452752448
217,Origen-Destino,102,Ávila-Iglesia Cataluña,6A,Directa Centro,Cootranscataluña,9327.46604203082
219,Origen-Destino,102A,Pablo Escobar-Cataluña,6A,Directa No Centro,Cootranscataluña,3736.40585576151
222,Origen-Destino,111,El Salvador derecho,6A,Directa Centro,Flota la Milagrosa,5210.57035802221
224,Origen-Destino,111,Quintas del Salvador,6A,Directa Centro,Flota la Milagrosa,5322.38116027993
226,Origen-Destino,112,Las Palmas,6A,Directa Centro,Copatra,3167.26984220753
228,Origen-Destino,113M,Pablo E.,6A,Directa Centro,Flota la Milagrosa,4093.88338343399
229,Origen-Destino,113,Ávila - Cataluña,6A,Directa Centro,Flota la Milagrosa,8437.38264473872
242,Origen-Destino,031 P-C,Popular Centro,6C,Directa Centro,Expreso Campo Valdés,10462.739760082
243,Origen-Destino,031 P-F,Popular Ferrocarril,6C,Directa Centro,Expreso Campo Valdés,9575.03546105989
252,Origen-Destino,080 V-M,Villa Hermosa - La Mansión,6D,Directa Centro,Flota Nueva Villa,6606.29298834858
253,Origen-Destino,080 V-O,Villa Hermosa - La Mansión-Directa Oriental,6D,Directa Centro,Flota Nueva Villa,5369.78043870272
254,Origen-Destino,81,Villa Hermosa - Derecho,6D,Directa Centro,Flota Nueva Villa,5660.60079535201
255,Origen-Destino,082 V-LA,Villa Hermosa - Los Ángeles,6D,Directa Centro,Flota Nueva Villa,5869.08160043604
256,Origen-Destino,082 V-LAD,Villa Hermosa - Los Ángeles - Directa,6D,Directa Centro,Flota Nueva Villa,5497.56598278571
257,Origen-Destino,85,La Honda,6D,Directa Centro,Cootracovi,6815.60166734653
258,Origen-Destino,55,El Pinar,6E,Directa Centro,Cootranscol,11206.3531842382
259,Origen-Destino,055P,El Pinar Periférica,6E,Directa Centro,Cootranscol,2118.90062876992
260,Origen-Destino,56,La Esperanza,6E,Directa Centro,Cootranscol,8515.98100186703
261,Origen-Destino,57,Bello Oriente,6E,Directa Centro,Coopetransa,14406.357106597
262,Origen-Destino,60,Santo Domingo,6E,Directa Centro,Cootranscol,7019.73937224091
267,Origen-Destino,90,Pinal,6F,Directa Centro,Copatra,7144.04645732539
268,Origen-Destino,91,Alcázares de Sucre,6F,Directa Centro,Copatra,7686.78726465109
269,Origen-Destino,91,Llanadas,6F,Directa Centro,Copatra,3575.10194293245
270,Origen-Destino,091F,El Faro,6F,Directa Centro,Copatra,5712.02546057545
263,Origen-Destino,69,El Jardín,6E,Directa Centro,Coopetransa ,7458.91132022999
264,Origen-Destino,87,Pinar Torres,6F,Directa Centro,Cootranspinal,4356.08885900377
265,Origen-Destino,087 Horario Esp,Pinar Torres horario esp,6F,Directa Centro,Cootranspinal,6830.44108481449
266,Origen-Destino,88,Pinar Torres,6F,Directa Centro,Cootranspinal,5717.5825293473
244,Origen-Destino,031 P-SD,Popular Centro San Diego,6C,Directa Centro,Expreso Campo Valdés,11868.8512750503
246,Origen-Destino,37 - 39,Hueco,6C,Directa Centro,Autocol,8179.63435436087
247,Origen-Destino,37 - 39,Ferrocarril Minorista,6C,Directa Centro,Autocol,10092.5206257883
248,Origen-Destino,37 - 39,Villanueva,6C,Directa Centro,Autocol,8114.87411987054
249,Origen-Destino,51-52 CV-C,Campo Valdés Centro,6C,Directa Centro,Expreso Campo Valdés,6467.81246545944
250,Origen-Destino,51-52 CV-SD,Campo Valdés San Diego,6C,Directa Centro,Expreso Campo Valdés,7618.30262777946
288,Origen-Destino,94,Santa Lucía,6H,Directa Centro,Copatra,6269.25842700599
289,Origen-Destino,95,Perlas,6H,Directa Centro,Copatra,6682.62154935065
290,Origen-Destino,95,Perlas Minorista,6H,Directa Centro,Copatra,7164.542218356
291,Origen-Destino,95,Villatina  ,6H,Directa Centro,Copatra,6230.28149325924
292,Origen-Destino,95,Villatina Minorista,6H,Directa Centro,Copatra,6712.2021622646
293,Origen-Destino,103,Sierra Minorista,6H,Directa Centro,Cootransi,12123.0639867501
294,Origen-Destino,103,Mirlas,6H,Directa Centro,Cootransi,9133.53964866016
295,Origen-Destino,103,Mirlas Minorista,6H,Directa Centro,Cootransi,12199.1825972274
296,Origen-Destino,107,Perlas,6H,Directa Centro,Cootransvi,5251.8389616868
300,Origen-Destino,190,Laureles Parque,8A,Directa Centro,Autobuses Poblado Laureles,8962.18995961927
301,Origen-Destino,191,Laureles Éxito,8A,Directa Centro,Autobuses Poblado Laureles,11268.3201116933
302,Origen-Destino,192,Laureles Nogal # 1,8A,Directa Centro,Autobuses Poblado Laureles,7508.65304559935
297,Origen-Destino,107,San Antonio-Minorista,6H,Directa Centro,Cootransvi,6800.23711095943
298,Origen-Destino,107,Ratón Pelao,6H,Directa Centro,Cootransvi,4935.77393706912
299,Origen-Destino,107,San Antonio,6H,Directa Centro,Cootransvi,5972.85699203751
271,Origen-Destino,091V,Villa Mercedes,6F,Directa Centro,Copatra,6061.36686160321
272,Origen-Destino,105,Golondrinas,6F,Directa Centro,Cootransmallat,4893.33326158138
273,Origen-Destino,105,Golondrinas - Minorista,6F,Directa Centro,Cootransmallat,4865.81652691443
274,Origen-Destino,105,Golondrinas horario especial,6F,Directa Centro,Cootransmallat,10870.8006563818
275,Origen-Destino,105,Golondrinas horario nocturno,6F,Directa Centro,Cootransmallat,3927.11526381515
276,Origen-Destino,105,Villa Mercedes,6F,Directa Centro,Cootransmallat,5726.25327303972
277,Origen-Destino,106,Tres Esquinas,6F,Directa Centro,Cootransmallat,4217.55143658987
278,Origen-Destino,106,Tres Esquinas - Minorista,6F,Directa Centro,Cootransmallat,7834.70099250852
279,Origen-Destino,106,Tres Esquinas horario especial,6F,Directa Centro,Cootransmallat,2490.51244281198
280,Origen-Destino,98 Directa 3,Santa Elena-Las Brisas-Medellín,6G,Directa No Centro,Transacoop,20013.9946928936
281,Origen-Destino,98 Directa 4,Santa Elena-Perico-Las Brisas-Medellín,6G,Directa No Centro,Transacoop,28814.0790233747
282,Origen-Destino,98 Directa 6,Santa Elena-Piedras Blancas-Medellín,6G,Directa No Centro,Transacoop,57137.9418266365
283,Origen-Destino,98 Directa 8,Santa Elena-El Cerro-Las Brisas-Medellín,6G,Directa No Centro,Transacoop,27334.1779897454
284,Origen-Destino,98 Directa 9,Santa Elena-Piedras Blancas-Las Brisas-Medellín,6G,Directa No Centro,Transacoop,57137.9418266365
285,Origen-Destino,93,Caicedo La Toma,6H,Directa Centro,Copatra,5484.43864509278
286,Origen-Destino,93,Caicedo,6H,Directa Centro,Copatra,5739.10278356622
287,Origen-Destino,93,Caicedo La Toma Minorista,6H,Directa Centro,Copatra,6707.26405344808
303,Origen-Destino,193,Laureles Nogal # 2,8A,Directa Centro,Autobuses Poblado Laureles,9843.86598451204
304,Origen-Destino,193i,Estadio-Bolivariana-Laureles,8A,Integrada,Autobuses Poblado Laureles,3276.21280166804
305,Origen-Destino,193ii,Estadio-Laureles Santa Teresita,8A,Integrada,Autobuses Poblado Laureles,5061.16267128293
306,Origen-Destino,195,Simón Bolívar-Unicentro-Centro,8A,Directa Centro,Tax Maya,10543.2400576805
316,Origen-Destino,202i,El Morro-Travesías-Corazón-Santa Lucía,8A,Integrada,Conducciones América,5739.87929730239
317,Origen-Destino,203 Corazón,Corazón-Oriental,8A,Directa Centro,Conducciones América,9476.3544429099
318,Origen-Destino,220,San Javier-Eduardo Santos-Oriental,8A,Directa Centro,Conducciones América,8371.53175711794
319,Origen-Destino,221A,San Javier Derecho-La Caseta-Oriental,8A,Directa Centro,Conducciones América,7865.81260012031
