"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"106","Sitva-32","106","Tres Esquinas horario especial","Directa Centro","3","","","",""
"98 Directa 3","Sitva-33","98 Directa 3","Santa Elena-Las Brisas-Medellín","Directa No Centro","3","","","",""
"98 Directa 4","Sitva-33","98 Directa 4","Santa Elena-Perico-Las Brisas-Medellín","Directa No Centro","3","","","",""
"98 Directa 6","Sitva-33","98 Directa 6","Santa Elena-Piedras Blancas-Medellín","Directa No Centro","3","","","",""
"98 Directa 8","Sitva-33","98 Directa 8","Santa Elena-El Cerro-Las Brisas-Medellín","Directa No Centro","3","","","",""
"98 Directa 9","Sitva-33","98 Directa 9","Santa Elena-Piedras Blancas-Las Brisas-Medellín","Directa No Centro","3","","","",""
"93","Sitva-22","93","Caicedo La Toma","Directa Centro","3","","","",""
"93","Sitva-22","93","Caicedo","Directa Centro","3","","","",""
"93","Sitva-22","93","Caicedo La Toma Minorista","Directa Centro","3","","","",""
"193","Sitva-2","193","Laureles Nogal # 2","Directa Centro","3","","","",""
"193i","Sitva-2","193i","Estadio-Bolivariana-Laureles","Integrada","3","","","",""
"193ii","Sitva-2","193ii","Estadio-Laureles Santa Teresita","Integrada","3","","","",""
"195","Sitva-34","195","Simón Bolívar-Unicentro-Centro","Directa Centro","3","","","",""
"202i","Sitva-35","202i","El Morro-Travesías-Corazón-Santa Lucía","Integrada","3","","","",""
"203 Corazón","Sitva-35","203 Corazón","Corazón-Oriental","Directa Centro","3","","","",""
"220","Sitva-35","220","San Javier-Eduardo Santos-Oriental","Directa Centro","3","","","",""
"221A","Sitva-35","221A","San Javier Derecho-La Caseta-Oriental","Directa Centro","3","","","",""
"221B","Sitva-35","221B","San Javier Derecho-Cuatro Esquinas-Oriental","Directa Centro","3","","","",""
"221i","Sitva-35","221i","Villa Laura-San Javier","Integrada","3","","","",""
"222","Sitva-35","222","San Javier Niza - Oriental","Directa Centro","3","","","",""
"223","Sitva-35","223","San Javier La Loma-Minorista","Directa Centro","3","","","",""
"225i-1","Sitva-36","225i-1","20 de Julio","Integrada","3","","","",""
"240","Sitva-35","240","Floresta Estadio-Oriental","Directa Centro","3","","","",""
"242","Sitva-4","242","La Divisa","Directa Centro","3","","","",""
"242","Sitva-4","242","La Quiebra","Directa Centro","3","","","",""
"225i-2","Sitva-36","225i-2","Colinas","Integrada","3","","","",""
"226i","Sitva-36","226i","Salado","Integrada","3","","","",""
"226i-D","Sitva-36","226i-D","Depósito","Integrada","3","","","",""
"227i-1","Sitva-36","227i-1","Quintas","Integrada","3","","","",""
"227i-A","Sitva-36","227i-A","Peñitas","Integrada","3","","","",""
"227i-B","Sitva-36","227i-B","Gabriela","Integrada","3","","","",""
"227iB-2","Sitva-36","227iB-2","Socorro","Integrada","3","","","",""
"227i-C","Sitva-36","227i-C","Caseta","Integrada","3","","","",""
"228i","Sitva-36","228i","Conquistadores","Integrada","3","","","",""
"195i","Sitva-34","195i","Simón Bolívar-Unicentro-estación Santa Lucía","Integrada","3","","","",""
"200","Sitva-35","200","Barrio Cristóbal-Oriental","Directa Centro","3","","","",""
"201","Sitva-35","201","Éxito Corazón","Directa Centro","3","","","",""
"201","Sitva-35","201","Éxito Corazón","Directa Centro","3","","","",""
"201B","Sitva-35","201B","Corazón-Plaza Minorista","Directa Centro","3","","","",""
"195ii","Sitva-34","195ii","Laureles Campestre-estación Santa Lucía - estación Floresta","Integrada","3","","","",""
"201i","Sitva-35","201i","Los Tanques-El Volcán-El Corazón-San Javier","Integrada","3","","","",""
"202","Sitva-35","202","Santa Mónica-Oriental","Directa Centro","3","","","",""
"195ii","Sitva-34","195ii","Laureles Campestre-estación Santa Lucía - estación Floresta","Integrada","3","","","",""
"C6-002","Sitva-0","C6-002","Villa Hermosa - Hospital","Alimentadora","3","","","",""
"C6-003","Sitva-0","C6-003","Campo Valdés - Hospital","Alimentadora","3","","","",""
"C6-004","Sitva-0","C6-004","La Milagrosa - Exposiciones","Alimentadora","3","","","",""
"C6-005","Sitva-0","C6-005","Cerros el Vergel - San José","Alimentadora","3","","","",""
"C6-005A","Sitva-0","C6-005A","Quinta Linda - San José","Alimentadora","3","","","",""
"C6-006","Sitva-0","C6-006","Villa Liliam - Alejandro Echavarría","Alimentadora","3","","","",""
"C6-007","Sitva-0","C6-007","Buenos Aires - San Antonio","Alimentadora","3","","","",""
"C6-008","Sitva-0","C6-008","La Libertad - Prado","Alimentadora","3","","","",""
"C6-009","Sitva-0","C6-009","Enciso - Prado","Alimentadora","3","","","",""
"C6-010A","Sitva-0","C6-010A","Villatina - Alejandro Echavarría","Alimentadora","3","","","",""
