"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"082 V-LA","Sitva-15","082 V-LA","Villa Hermosa - Los Ángeles","Directa Centro","3","","","",""
"082 V-LAD","Sitva-15","082 V-LAD","Villa Hermosa - Los Ángeles - Directa","Directa Centro","3","","","",""
"37 - 39","Sitva-27","37 - 39","Ferrocarril Minorista","Directa Centro","3","","","",""
"085 L C","Sitva-19","085 L C","La Cruz","Directa Centro","3","","","",""
"031 P-C","Sitva-28","031 P-C","Popular Centro","Directa Centro","3","","","",""
"031 P-F","Sitva-28","031 P-F","Popular Ferrocarril","Directa Centro","3","","","",""
"080 V-M","Sitva-15","080 V-M","Villa Hermosa - La Mansión","Directa Centro","3","","","",""
"080 V-O","Sitva-15","080 V-O","Villa Hermosa - La Mansión-Directa Oriental","Directa Centro","3","","","",""
"C23i","Sitva-20","C23i","La Asomadera-estación San Javier","Integrada","3","","","",""
"C23i","Sitva-20","C23i","El Patio-estación San Javier","Integrada","3","","","",""
"C23i","Sitva-20","C23i","Las Playas-estación San Javier","Integrada","3","","","",""
"C23i","Sitva-20","C23i","Pedregal Bajo-estación San Javier","Integrada","3","","","",""
"57","Sitva-29","57","Bello Oriente","Directa Centro","3","","","",""
"055P","Sitva-30","055P","El Pinar Periférica","Directa Centro","3","","","",""
"087 Horario Esp","Sitva-31","087 Horario Esp","Pinar Torres horario esp","Directa Centro","3","","","",""
"105","Sitva-32","105","Golondrinas","Directa Centro","3","","","",""
"90","Sitva-21","90","Pinal","Directa Centro","3","","","",""
"55","Sitva-30","55","El Pinar","Directa Centro","3","","","",""
"56","Sitva-30","56","La Esperanza","Directa Centro","3","","","",""
"60","Sitva-30","60","Santo Domingo","Directa Centro","3","","","",""
"91","Sitva-21","91","Alcázares de Sucre","Directa Centro","3","","","",""
"289","Sitva-18","289","Pilarica Calle 96","Directa Centro","3","","","",""
